artist,track,album
Marina Sena,Desmitificar,Coisas Naturais
DJ Japa NK & MC Meno K,Amo Minha Favela,Amo Minha Favela - Single
Timbalada,Beija-Flor,Axé Bahia
Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1)
ROSÉ & Bruno Mars,APT.,APT. - Single
Matheus & Kauan,Expectativa x Realidade,Expectativa x Realidade - EP
Ana Castela,Olha Onde Eu Tô,Let's Go Rodeo
Henrique & Juliano,Romântico (Ao Vivo),Manifesto Musical 2 (Ao Vivo) - EP 2
Legião Urbana,Tempo Perdido,Dois
RAYE,WHERE IS MY HUSBAND!,WHERE IS MY HUSBAND! - Single
Jorge & Mateus,Sol Nos Olhos,Sol Nos Olhos - Single
Gusttavo Lima,Pelo Bem da Minha Saudade,Feito À Mão Vol. 01
Grupo Revelação,Tá Escrito (Ao Vivo),No Morro (Ao Vivo)
Jorge & Mateus,Pra Sempre Com Você (Ao Vivo),Como. Sempre Feito. Nunca (Ao Vivo)
Diego & Victor Hugo & Luan Pereira,Pirulito Vermelho,Pirulito Vermelho - Single
"Anitta, Marina Sena, MC Danny & Pabllo Vittar",Fala Quem É,Ensaios Da Anitta
"Henry Freitas, Nuzio Medeiros & Kadu Martins",Superfantasticamente (Superfantastico),Superfantasticamente (Superfantastico) - Single
Ivete Sangalo,Energia de Gostosa,Energia de Gostosa - Single
Henrique & Juliano,Saudade De Quem Eu Sou (Ao Vivo),Manifesto Musical 2 (Ao Vivo) - EP 4
PEDRO SAMPAIO,POCPOC,POCPOC - Single
Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT
Marília Mendonça,Você Me Fez Odiar O Carnaval,Você Me Fez Odiar O Carnaval - Single
Bad Bunny & Chuwi,WELTiTA,DeBÍ TiRAR MáS FOToS
Marina Sena & Pabllo Vittar,que delícia o verão,MARINADA vol.01 - EP
"Mc GP, Mc Lele JP, DJ DAVI DOGDOG & Dj Andrabeat",ME POSTOU NO DAILY - FESTA DO BIG G,ME POSTOU NO DAILY - FESTA DO BIG G - Single
PEDRO SAMPAIO & Mc Gw,"SEQUÊNCIA STRIPTEASE (feat. Mc Talibã, Mc Debby)","SEQUÊNCIA STRIPTEASE (feat. Mc Talibã, Mc Debby) - Single"
Djo,End of Beginning,DECIDE
Bad Bunny & Los Pleneros de la Cresta,CAFé CON RON,DeBÍ TiRAR MáS FOToS
"LUDMILLA, Latto & Emilia",BOTA,BOTA - Single
Dua Lipa,New Rules,Dua Lipa (Deluxe)
Marília Mendonça & Maiara & Maraisa,Esqueça-Me Se For Capaz,Festa das Patroas 35%
Anitta & Viviane Batidão,Só Pra Tu,Ensaios Da Anitta
Henrique & Juliano,Online (Ao Vivo),"Ao Vivo No Ibirapuera, Vol. 2"
Jorge & Mateus & Lauana Prado,Haverá Sinais (Ao Vivo),Haverá Sinais (Ao Vivo) - Single
The Weeknd,Blinding Lights,Blinding Lights - Single
LINKIN PARK,In the End,Hybrid Theory (Deluxe Edition)
Diego & Victor Hugo,Áudio (Ao Vivo em Brasília),Diego & Victor Hugo ao Vivo em Brasília
NandaTsunami,P.I.T.T.Y. (Parecendo Uma Cafetina),P.I.T.T.Y. (Parecendo Uma Cafetina) - Single
Bruno Mars,I Just Might,The Romantic
Ed Sheeran,Shape of You,÷ (Deluxe)
Henrique & Juliano,Completa A Frase (Completa Aí) [Ao Vivo] [feat. Marília Mendonça],Menos É Mais (Ao Vivo)
Grupo Menos É Mais & Xand Avião,Matadinha De Saudade (Ao Vivo),"Virado No Pagode, Vol. 1 (Ao Vivo) - EP"
Grupo Menos É Mais,Queria Ser Tu / Interfone (Ao Vivo),MOLHO (Ao Vivo)
"PEDRO SAMPAIO, 0bg3fNpRQgZTCAg3Bseyly & Mc Nito",SEQUÊNCIA CARAMELO,SEQUÊNCIA CARAMELO - Single
Harry Styles,As It Was,Harry's House
Harry Styles,Aperture,"Kiss All The Time. Disco, Occasionally."
Zé Neto & Cristiano,Pulando o Muro (Ao Vivo),"Intenso, Vol. 3 (Ao Vivo)"
Veigh,Talvez você precise de mim,Eu Venci o Mundo
Bad Bunny,MONACO,nadie sabe lo que va a pasar mañana
Grupo Menos É Mais,Pagando Mal Com Mal,Plano Piloto
Charli xcx,Chains of Love,Wuthering Heights
Sabrina Carpenter,Tears,Man’s Best Friend
Luan Santana & Léo Foguete,DONA (Ao Vivo),DONA (Ao Vivo) - Single
Léo Santana,Marquinha De Fitinha (Ao Vivo),Léo Santana 20 Anos - DNA De GG (Ao Vivo / Parte 1) - EP
Bad Bunny & JHAYCO,DÁKITI,EL ÚLTIMO TOUR DEL MUNDO
Charlie Brown Jr.,Só Os Loucos Sabem,Camisa 10 Joga Bola Até Na Chuva
Di Propósito,Manda Áudio,Manda Áudio - Single
Jorge & Mateus,Louca de Saudade (Ao Vivo),Como. Sempre Feito. Nunca (Ao Vivo)
Marina Sena,Maravilhosa,MARINADA vol.01 - EP
Journey,Don't Stop Believin' (2024 Remaster),Greatest Hits (2024 Remaster)
Ivete Sangalo,Sórte Grande,Clube Carnavalesco Inocentes Em Progresso
The Goo Goo Dolls,Iris,"Greatest Hits, Vol. One: The Singles"
Zé Felipe & Ana Castela,Sua Boca Mente (You're Still The One),Sua Boca Mente (You're Still The One) - Single
Oasis,Wonderwall (Remastered),(What's the Story) Morning Glory? [Deluxe Edition] [Remastered]
Henrique & Juliano,Cidade Vizinha (Ao Vivo),Menos É Mais (Ao Vivo)
AC/DC,Back In Black,Back In Black
Clayton & Romário & Zé Felipe,Se Eu Te Perdoar (Ao Vivo),Se Eu Te Perdoar (Ao Vivo) - Single
Léo Santana,Zona De Perigo,Zona De Perigo - Single
Imagine Dragons,Believer,Evolve
Nirvana,Smells Like Teen Spirit,Nevermind
Grupo Menos É Mais,Jejum de Amor / Caixa Postal / Vida Vazia (Ao Vivo),Churrasquinho 3 (Ao Vivo)
Guilherme & Benuto & Luan Santana,Quarto 67 (Ao Vivo),Quarto 67 (Ao Vivo) - Single
Ara Ketu,Ara Ketu Bom Demais,Bom Demais
Billie Eilish,CHIHIRO,HIT ME HARD AND SOFT
Bad Bunny & RaiNao,PERFuMITO NUEVO,DeBÍ TiRAR MáS FOToS
"Guilherme & Benuto, Grupo Menos É Mais & Matheus Fernandes",Grau de Maluca (Ao Vivo),"+ Amor, + Música Vol. 3 (Ao Vivo)"
The Police,Every Breath You Take (Remastered 2003),Synchronicity (Remastered 2003)
Thiaguinho,Falta Você,"Infinito 2021, Vol. 2"
Ariana Grande,no tears left to cry,sweetener (Bonus Videos Edition)
Banda Eva,Eva (Ao Vivo),"Veja Alto, Ouça Colorido (Ao Vivo)"
Yasmin Sensação,Fanatismo,Repertório Fim de Ano
Matheus Fernandes & Felipe Amorim,Morena Jambo (Ao Vivo),Morena Jambo / Miau (Ao Vivo) - Single
DENNIS & Luísa Sonza,Motinha 2.0,Motinha 2.0 - Single
Marina Sena,Por Supuesto,De Primeira
Liniker,CHARME,CHARME - Single
Jorge & Mateus,Logo Eu,Os Anjos Cantam
Julliany Souza,Quem É Esse? (Ao Vivo),Quem É Esse? (Ao Vivo) - Single
"Bad Bunny, Omar Courtz & Dei V",VeLDÁ,DeBÍ TiRAR MáS FOToS
Charli xcx,Always Everywhere,Wuthering Heights
Matheus & Kauan,Cronômetro (Ao Vivo),"Praiou, Vol. 3 (Ao Vivo)"
Sorriso Maroto & Ferrugem,Ela (Ao Vivo),"Sorriso Eu Gosto No Pagode, Pt. 1 (Ao Vivo)"
Ariana Grande,Into You,Dangerous Woman (Bonus Videos Edition)
Tears for Fears,Everybody Wants to Rule the World,Songs from the Big Chair
Bad Bunny & Chencho Corleone,Me Porto Bonito,Un Verano Sin Ti
Henrique & Juliano,Rancorosa (Ao Vivo Em Brasília),To Be (Ao Vivo Em Brasília) - EP 2
"DJ Gu, MC Vine7, MC Tuto & MC Joãozinho VT",Reliquia do 2T (feat. Mc Dkziin & MC Fr da Norte),Reliquia do 2T (feat. Mc Dkziin & MC Fr da Norte) - Single
Bruno & Marrone,Choram As Rosas (Lloran las Rosas),Meu Presente é Você
Simone Mendes,Saudade Proibida (Ao Vivo),Saudade Proibida (Ao Vivo) - Single
Lola Young,Messy,This Wasn't Meant For You Anyway
Charli xcx,Dying for You,Wuthering Heights
"Anitta, PEDRO SAMPAIO & DENNIS",Joga Pra Lua,Joga Pra Lua - Single
Bon Jovi,Livin' On a Prayer,Slippery When Wet
"João Gomes, Mestrinho & Jota.pê",Beija Flor,Dominguinho
Ariana Grande,7 rings,"thank u, next"
Matheus & Kauan,Paraquedas (feat. Gusttavo Lima),Paraquedas
Ivete Sangalo,O Verão Bateu Em Minha Porta (Ao Vivo),O Verão Bateu Em Minha Porta (Ao Vivo) - EP
Lauana Prado,Whisky Vagabund0 (Ao Vivo),"Ao Vivo Em Brasília (Ao Vivo), Vol. 1"
Israel & Rodolffo,"Não, Mas Quase (Ao Vivo)",Memórias - Parte 1 (Ao Vivo) - Single
Jorge & Mateus,Cantada Boba (Ao Vivo),Check-In (Ao Vivo)
Ed Sheeran,Perfect,÷ (Deluxe)
The Outfield,Your Love,Big Innings: Best of The Outfield
Turma do Pagode,Sua Mãe Vai Me Amar,Sua Mãe Vai Me Amar - Single
Isadora Pompeo,Bênçãos Que Não Têm Fim (Counting My Blessings),Bênçãos Que Não Têm Fim (Counting My Blessings) - Single
LINKIN PARK,Numb,Meteora (Deluxe Edition)
"Dj Yuri Pedrada, Nilo, MC Meno K, MC Livinho, Mc Negão Original, MC Jvila, MC Ryan SP, Mc Paiva ZS & MC GDL",SET DJ YURI PEDRADA - TRAVA CHIP,SET DJ YURI PEDRADA - TRAVA CHIP - Single
Zé Neto & Cristiano,Oi Balde (Ao Vivo),"Escolhas, Vol. 1 (Ao Vivo)"
Bad Bunny,MIA (feat. Drake),MIA (feat. Drake) - Single
KATSEYE,Gabriela,BEAUTIFUL CHAOS - EP
Pearl Jam,Black,Ten
Harry Styles,Watermelon Sugar,Fine Line
Zé Neto & Cristiano,Escondendo o Ouro (Ao Vivo),"Magia das Estrelas, Vol. 1 (Ao Vivo)"
Dua Lipa,Levitating,Future Nostalgia
Anitta,Essa Mina é Louca (feat. Jhama),Bang
Henrique & Juliano,Traumatizei (Ao Vivo),To Be (Ao Vivo) - EP 1
Jorge & Mateus,O Que É Que Tem (Ao Vivo),Jorge & Mateus - Live In London - At the Royal Albert Hall
Jorge & Mateus,Nocaute,Os Anjos Cantam
Gusttavo Lima,A Noite (La Notte) [Ao Vivo],Embaixador Acústico - Ao Vivo
Léo Foguete,Última Noite,Última Noite - Single
Lana Del Rey,Cinnamon Girl,Norman Fucking Rockwell!
Marília Mendonça,Flor E O Beija-Flor,Flor E O Beija-Flor - Single
Zara Larsson,Lush Life,So Good
Ivete Sangalo,O Mundo Vai,O Mundo Vai - Single
Suel & Grupo Menos É Mais,Vitamina C (Ao Vivo),Pôr do Suel Em Recife - Parte 2 (Ao Vivo)
Monobloco,Taj Mahal / Filho Maravilha / País Tropical (Ao Vivo),Monobloco (Ao Vivo)
Drops INA,É Ele,É Ele - EP
Diego & Arnaldo & Zé Neto & Cristiano,Vai Cair Água (Ao Vivo),Vai Cair Água (Ao Vivo) - Single
"Luan Pereira, Léo Foguete & Mc Don Juan",Nunca Esquecido (Ao Vivo),Nunca Esquecido (Ao Vivo) - Single
Daniela Mercury,Swing Da Cor,20 Grandes Êxitos
DENNIS & Léo Foguete,Menina,Menina - Single
Radiohead,Creep,Pablo Honey
Imagine Dragons,Thunder,Evolve
sombr,back to friends,back to friends - Single
Coldplay,Viva La Vida,Viva La Vida or Death and All His Friends
Lana Del Rey,Summertime Sadness,Born to Die - The Paradise Edition
Coldplay,Yellow,Parachutes
Coldplay,A Sky Full of Stars,Ghost Stories
The Neighbourhood,Sweater Weather,I Love You.
Lana Del Rey,West Coast,Ultraviolence (Deluxe)
R.E.M.,Losing My Religion,Out of Time (25th Anniversary Edition)
Billie Eilish,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
LINKIN PARK,The Emptiness Machine,From Zero
Arctic Monkeys,Do I Wanna Know?,AM
The Clash,Should I Stay or Should I Go,Combat Rock
sombr,12 to 12,12 to 12 - Single
Billie Eilish,ocean eyes,dont smile at me
Imagine Dragons,Demons,Night Visions
Coldplay,Adventure of a Lifetime,A Head Full of Dreams
Coldplay,The Scientist,A Rush of Blood to the Head
Red Hot Chili Peppers,Californication,Californication (Remastered)
Taylor Swift,cardigan,folklore
Billie Eilish,Happier Than Ever,Happier Than Ever
Coldplay,Clocks,A Rush of Blood to the Head
Imagine Dragons,Whatever It Takes,Evolve
Billie Eilish,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
Red Hot Chili Peppers,Can't Stop,By the Way
Florence + the Machine,Dog Days Are Over,Between Two Lungs (Deluxe)
Red Hot Chili Peppers,Scar Tissue,Greatest Hits
BaianaSystem,Lucro (Descomprimindo),Duas Cidades
Billie Eilish,everything i wanted,everything i wanted - Single
Coldplay,Paradise,Mylo Xyloto
Billie Eilish,bellyache,dont smile at me
Imagine Dragons,Bones,Bones - Single
Oasis,Don't Look Back in Anger (Remastered),(What's the Story) Morning Glory? [Deluxe Edition] [Remastered]
Pearl Jam,Last Kiss,rearviewmirror (greatest hits 1991-2003)
Lewis Capaldi,Someone You Loved,Breach - EP
Arctic Monkeys,I Wanna Be Yours,AM
Coldplay,Fix You,X&Y
Foo Fighters,Learn to Fly,There Is Nothing Left to Lose
Red Hot Chili Peppers,Otherside,Greatest Hits
Arctic Monkeys,505,Favourite Worst Nightmare
Gotye,Somebody That I Used to Know (feat. Kimbra),Making Mirrors
Tame Impala & JENNIE,Dracula (JENNIE Remix),Dracula (Remix) - Single
Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium
Coldplay,Hymn for the Weekend,A Head Full of Dreams
Red Hot Chili Peppers,Under the Bridge,Greatest Hits
Melanie Martinez,POSSESSION,POSSESSION - Single
Gorillaz & De La Soul,"Feel Good Inc. (feat. David Jolicoeur, Kelvin Mercer & Vincent Mason)",Demon Days
Kings of Leon,Sex On Fire,Only By the Night
The Cure,Boys Don't Cry,Three Imaginary Boys (Deluxe Edition)
Green Day,Basket Case,Dookie
Imagine Dragons,Bad Liar,Origins (Deluxe Edition)
Vance Joy,Riptide,Dream Your Life Away (Special Edition)
Arctic Monkeys,Why'd You Only Call Me When You're High?,AM
twenty one pilots,Stressed Out,Blurryface
sombr,undressed,undressed - Single
Imagine Dragons & JID,Enemy (From Arcane: League of Legends),Enemy (From Arcane: League of Legends) - Single
Arctic Monkeys,R U Mine?,AM
Lana Del Rey,Ride,Born to Die - The Paradise Edition
LINKIN PARK,Heavy Is the Crown,From Zero
Coldplay,Sparks,Parachutes
Kings of Leon,Use Somebody,Only By the Night
twenty one pilots,Ride,Blurryface
Imagine Dragons,Natural,Origins (Deluxe Edition)
Foster the People,Pumped Up Kicks,Torches
Lana Del Rey,Lust for Life (feat. The Weeknd),Lust for Life
Green Day,Boulevard of Broken Dreams,American Idiot
The Smiths,There Is a Light That Never Goes Out,The Queen Is Dead
Radiohead,Fake Plastic Trees,The Bends
Red Hot Chili Peppers,By the Way,By the Way
Lana Del Rey,Love,Lust for Life
Lord Huron,The Night We Met,Strange Trails
Red Hot Chili Peppers,Dani California,Stadium Arcadium
Lorde,Team,Pure Heroine
Tones And I,Dance Monkey,The Kids Are Coming - EP
Foo Fighters,Best of You,In Your Honor
Halsey,Without Me,Manic
Tame Impala,The Less I Know the Better,Currents
Lana Del Rey,Ultraviolence,Ultraviolence (Deluxe)
Radiohead,Let Down,OK Computer
Imagine Dragons,It's Time,Night Visions (Deluxe)
Lana Del Rey,Brooklyn Baby,Ultraviolence (Deluxe)
Glass Animals,Heat Waves,Dreamland
Tame Impala,Dracula,Deadbeat
Billie Eilish,THE GREATEST,HIT ME HARD AND SOFT
Billie Eilish,LUNCH,HIT ME HARD AND SOFT
Billie Eilish,BLUE,HIT ME HARD AND SOFT
Lorde,Royals,Pure Heroine
Red Hot Chili Peppers,The Zephyr Song,By the Way
Bastille,Pompeii,Pompeii - EP
Taylor Swift,august,folklore
Rosa Linn,SNAP,SNAP - Single
Billie Eilish,Your Power,Happier Than Ever
Arctic Monkeys,Fluorescent Adolescent,Favourite Worst Nightmare
Rag'n'Bone Man,Human,Human (Deluxe)
Imagine Dragons,Sharks,Mercury - Acts 1 & 2
Duran Duran,Save a Prayer,Rio (Collectors Edition)
Talking Heads,Psycho Killer,The Best of Talking Heads (Remastered)
Panic! At the Disco,High Hopes,Pray for the Wicked
Imagine Dragons,On Top of the World,Night Visions (Deluxe)
Radiohead,No Surprises,OK Computer
Dominic Fike,Babydoll,"Don't Forget About Me, Demos - EP"
Lana Del Rey,Chemtrails Over the Country Club,Chemtrails Over the Country Club
Taylor Swift,willow,evermore
Green Day,American Idiot,American Idiot (Deluxe Edition)
Chase Atlantic,Friends,Nostalgia - EP
Hoobastank,The Reason,The Reason - Single
Pearl Jam,Yellow Ledbetter,rearviewmirror (greatest hits 1991-2003)
Portugal. The Man,Feel It Still,Woodstock
Billie Eilish,L’AMOUR DE MA VIE,HIT ME HARD AND SOFT
Alice In Chains,Would?,Dirt (Remastered)
Rubel & Anavitória,Partilhar,Partilhar - Single
Red Hot Chili Peppers,Give It Away,Blood Sugar Sex Magik
Lana Del Rey,Sad Girl,Ultraviolence (Deluxe)
The Strokes,Last Nite,Is This It
Imagine Dragons,Follow You,Follow You / Cutthroat - Single
Foo Fighters,Times Like These,One By One (Deluxe Edition)
Capital Cities,Safe and Sound,In A Tidal Wave of Mystery (Deluxe Edition)
Foo Fighters,The Pretender,"Echoes, Silence, Patience & Grace"
Green Day,Holiday,American Idiot
The Neighbourhood,Softcore,Hard To Imagine The Neighbourhood Ever Changing
Lykke Li,I Follow Rivers (The Magician Remix),I Follow Rivers (The Magician Remix) - Single
Cigarettes After Sex,Apocalypse,Cigarettes After Sex
Pearl Jam,Better Man,Vitalogy
Lewis Capaldi,Before You Go,Divinely Uninspired To a Hellish Extent (Extended Edition)
Billie Eilish,"What Was I Made For? (From The Motion Picture ""Barbie"")","What Was I Made For? (From The Motion Picture ""Barbie"") - Single"
Taylor Swift,the 1,folklore
Taylor Swift,my tears ricochet,folklore
Jeff Buckley,"Lover, You Should've Come Over",Grace
Oasis,Champagne Supernova (Remastered),(What's the Story) Morning Glory? [Deluxe Edition] [Remastered]
Tove Lo,Habits (Stay High),Queen of the Clouds
Taylor Swift,exile (feat. Bon Iver),folklore
Gorillaz,Clint Eastwood,Gorillaz
Green Day,Wake Me Up When September Ends,American Idiot (Deluxe Edition)
Imagine Dragons,Eyes Closed,Eyes Closed - Single
Green Day,When I Come Around,Dookie
twenty one pilots,Heathens,Suicide Squad (Original Motion Picture Soundtrack)
Halsey,Bad At Love,hopeless fountain kingdom (Live From Webster Hall)
Nirvana,About a Girl,Bleach (Deluxe Edition)
Paramore,The Only Exception,Brand New Eyes
LINKIN PARK,Up From the Bottom,From Zero (Deluxe Edition)
Radiohead,High and Dry,The Bends
Arctic Monkeys,No. 1 Party Anthem,AM
Billie Eilish,SKINNY,HIT ME HARD AND SOFT
Snow Patrol,Chasing Cars,Eyes Open
Lorde,Green Light,Melodrama
Coldplay,feelslikeimfallinginlove,Moon Music
Fun.,We Are Young (feat. Janelle Monáe),Some Nights
Coldplay,Magic,Ghost Stories
Red Hot Chili Peppers,Dark Necessities,The Getaway
Imagine Dragons,Wrecked,Mercury - Act 1
Lorde,Ribs,Pure Heroine
Tame Impala,Let It Happen,Currents
Arctic Monkeys,Snap Out of It,AM
The Cure,Just Like Heaven,Kiss Me Kiss Me Kiss Me
Sublime,Santeria,Sublime
The Cure,In Between Days,The Head On the Door
The Smiths,This Charming Man,The Smiths
Seafret,Atlantis,Tell Me It's Real (Expanded Edition)
Lana Del Rey,Art Deco,Honeymoon
The Neighbourhood,Reflections,Hard To Imagine The Neighbourhood Ever Changing
Red Hot Chili Peppers,Around the World,Californication (Remastered)
LINKIN PARK,Over Each Other,From Zero
The Marías,No One Noticed,Submarine
Mac DeMarco,Chamber of Reflection,Salad Days
WALK THE MOON,Shut Up and Dance,TALKING IS HARD (Expanded Edition)
Smash Mouth,All Star,Astro Lounge
MGMT,Kids,Oracular Spectacular
Mitski,My Love Mine All Mine,The Land Is Inhospitable and So Are We
Foo Fighters,All My Life,One By One (Deluxe Edition)
Chase Atlantic,Swim,Chase Atlantic
Green Day,Good Riddance (Time of Your Life),Nimrod
Taylor Swift,champagne problems,evermore
Lykke Li,Lucky Again,The Afterparty
The Smiths,Heaven Knows I'm Miserable Now,The Sound of The Smiths
Olivia Dean,Dive,Messy
KALEO,Way Down We Go,A / B
Paramore,Decode,Brand New Eyes (Deluxe)
Radiohead,Karma Police,OK Computer
Muse,Supermassive Black Hole,Black Holes and Revelations
Jovem Dionisio,ACORDA PEDRINHO,ACORDA PEDRINHO - Single
Lana Del Rey,Salvatore,Honeymoon
New West,Those Eyes,Those Eyes - Single
Paramore,Misery Business,Riot!
Lana Del Rey,White Mustang,Lust for Life
The Offspring,Self Esteem,Smash (Remastered)
Oasis,Don't Go Away (Remastered),Be Here Now (Remastered - Deluxe)
The Smashing Pumpkins,1979 (Remastered 2012),Mellon Collie And The Infinite Sadness (2012 Remastered)
Billie Eilish,Billie Bossa Nova,Happier Than Ever
Tame Impala,My Old Ways,Deadbeat
The Cure,Friday I'm In Love,Wish
